id,plant,disease,symptoms,cause,treatment,prevention,affected_part,severity,favorable_conditions
522,Strawberry,Angular Leaf Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Warm and humid
523,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,High,Poor airflow
524,Grape,Downy Mildew,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,High,Poor airflow
525,Peach,Crown Gall,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Moderate,Warm and humid
526,Wheat,Stripe Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,High,Excess moisture
527,Peach,Bacterial Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,Excess moisture
528,Lemon,Root Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Low,Poor airflow
529,Potato,Bacterial Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Moderate,Cool and wet
530,Mango,Bacterial Black Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Severe,Cool and wet
531,Wheat,Stripe Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Severe,Poor airflow
532,Apple,Apple Scab,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,Poor airflow
533,Cucumber,Angular Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Low,Poor airflow
534,Banana,Panama Disease,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Severe,Poor airflow
535,Strawberry,Angular Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,High,High humidity
536,Rice,Tungro,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Severe,Warm and humid
537,Potato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Leaf,Severe,Warm and humid
538,Peach,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,Severe,Poor airflow
539,Strawberry,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,High,High humidity
540,Apple,Cedar Apple Rust,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Low,Cool and wet
541,Potato,Blackleg,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Poor airflow
542,Apple,Apple Scab,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Moderate,Warm and humid
543,Mango,Sooty Mold,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Severe,Warm and humid
544,Papaya,Papaya Ringspot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Moderate,Warm and humid
545,Orange,Tristeza,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Low,High humidity
546,Banana,Yellow Sigatoka,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Severe,Cool and wet
547,Apple,Fire Blight,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,Cool and wet
548,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Fruit,Moderate,Poor airflow
549,Maize,Downy Mildew,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Low,Cool and wet
550,Grape,Botrytis Bunch Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Severe,Poor airflow
551,Papaya,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,Moderate,Warm and humid
552,Orange,Sooty Mold,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,High,High humidity
553,Strawberry,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Root,Moderate,High humidity
554,Potato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Root,Severe,Warm and humid
555,Orange,Tristeza,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,Warm and humid
556,Banana,Yellow Sigatoka,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Severe,Poor airflow
557,Banana,Bunchy Top,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Warm and humid
558,Tomato,Septoria Leaf Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Low,Cool and wet
559,Potato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Leaf and Fruit,Severe,High humidity
560,Watermelon,Fusarium Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Severe,Excess moisture
561,Rice,Tungro,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,High,High humidity
562,Apple,Fire Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,Moderate,High humidity
563,Pomegranate,Wilt,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Poor airflow
564,Orange,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Low,Warm and humid
565,Bell Pepper,Mosaic Virus,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Low,Cool and wet
566,Grape,Black Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Moderate,Cool and wet
567,Cucumber,Angular Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,High humidity
568,Mango,Bacterial Black Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf,Low,High humidity
569,Chilli,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,Low,Excess moisture
570,Apple,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf and Fruit,Severe,High humidity
571,Potato,Blackleg,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,Moderate,Cool and wet
572,Lemon,Citrus Canker,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Low,Excess moisture
573,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Low,Warm and humid
574,Cucumber,Angular Leaf Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,Warm and humid
575,Rice,Brown Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,High,Poor airflow
576,Papaya,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Low,High humidity
577,Grape,Botrytis Bunch Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Low,Cool and wet
578,Watermelon,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,Severe,Poor airflow
579,Guava,Fruit Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Low,Poor airflow
580,Tomato,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf and Fruit,High,High humidity
581,Maize,Common Rust,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,High,Poor airflow
582,Strawberry,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Fruit,Moderate,Warm and humid
583,Chilli,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf and Fruit,Moderate,High humidity
584,Tomato,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Severe,Warm and humid
585,Strawberry,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Root,Moderate,Poor airflow
586,Potato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Leaf,High,Warm and humid
587,Orange,Sooty Mold,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,Warm and humid
588,Wheat,Leaf Rust,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,Moderate,Warm and humid
589,Wheat,Septoria Leaf Blotch,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Severe,Cool and wet
590,Guava,Fruit Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Severe,High humidity
591,Bell Pepper,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Leaf,Moderate,Cool and wet
592,Mango,Sooty Mold,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Moderate,Cool and wet
593,Bell Pepper,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Root,High,Warm and humid
594,Rice,Sheath Blight,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Severe,Poor airflow
595,Lemon,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Excess moisture
596,Potato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Fruit,High,Warm and humid
597,Orange,Citrus Black Spot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Stem,Low,High humidity
598,Peach,Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Severe,Excess moisture
599,Orange,Citrus Canker,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Low,Warm and humid
600,Tomato,Early Blight,Dark brown circular lesions with concentric rings appear on older leaves.,"Fungal infection favored by warm, humid conditions.",Remove affected leaves and apply an appropriate fungicide.,"Maintain plant spacing, avoid overhead irrigation, and remove crop debris.",Fruit,Moderate,Cool and wet
601,Pomegranate,Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Low,Excess moisture
602,Lemon,Citrus Canker,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Poor airflow
603,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,High,Warm and humid
604,Bell Pepper,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Root,Severe,Poor airflow
605,Tomato,Leaf Mold,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,Severe,High humidity
606,Strawberry,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Stem,High,Poor airflow
607,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Stem,Moderate,Poor airflow
608,Chilli,Damping Off,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Low,High humidity
609,Pomegranate,Fruit Rot,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf and Fruit,Moderate,Cool and wet
610,Rice,Blast,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,High,Excess moisture
611,Cucumber,Angular Leaf Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Root,High,High humidity
612,Peach,Leaf Curl,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Leaf,Moderate,High humidity
613,Potato,Blackleg,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,High,Cool and wet
614,Peach,Leaf Curl,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,Moderate,Excess moisture
615,Potato,Late Blight,Water-soaked dark lesions spread quickly across leaves and stems.,A fungal-like pathogen spreads rapidly under cool and wet conditions.,Remove severely infected tissue and use a recommended fungicide.,Improve airflow and avoid prolonged leaf wetness.,Stem,Severe,Cool and wet
616,Peach,Brown Rot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Stem,High,Excess moisture
617,Tomato,Bacterial Spot,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Leaf and Fruit,Moderate,Cool and wet
618,Cucumber,Fusarium Wilt,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Root,Moderate,Warm and humid
619,Apple,Apple Scab,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Leaf,Moderate,Excess moisture
620,Cucumber,Downy Mildew,Brown or dark lesions appear on leaves and may spread to nearby tissue.,Infection can develop when moisture and temperature conditions favor the pathogen.,Prune infected parts where appropriate and apply a suitable registered treatment.,"Improve ventilation, avoid unnecessary leaf wetness, and remove fallen debris.",Fruit,Moderate,High humidity
621,Peach,Bacterial Spot,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Fruit,Low,Excess moisture
622,Mango,Anthracnose,"Dark sunken spots develop on leaves, stems, or fruit and may enlarge over time.",Fungal infection commonly spreads in warm and wet conditions.,Remove infected material and use an appropriate fungicide.,Use clean planting material and reduce moisture on plant surfaces.,Leaf,High,High humidity
623,Pomegranate,Wilt,"Yellowing leaves, small spots, and gradual leaf decline are observed.",The disease is associated with a plant pathogen and favorable environmental conditions.,Remove affected material and follow locally recommended disease-control practices.,"Use sanitation, proper spacing, clean planting material, and regular monitoring.",Stem,High,High humidity
624,Mango,Powdery Mildew,"White powdery growth develops on leaves, shoots, or fruit surfaces.",Fungal growth is favored by humid conditions and poor airflow.,Remove heavily affected tissue and apply a suitable fungicide.,"Provide good spacing, airflow, and balanced irrigation.",Root,Severe,High humidity
625,Peach,Crown Gall,"Affected fruit or leaves show discoloration, spots, and reduced quality.","The condition may be caused by a fungal, bacterial, or viral pathogen.",Separate infected material and use disease-specific management recommended for the crop.,Start with healthy planting material and maintain field hygiene.,Fruit,High,Excess moisture
